,id,chan,dir,ptc,xhigh,xlow,yhigh,ylow
424,424,CHANY,INC_DIR,24,1,1,1,1
425,425,CHANY,DEC_DIR,25,1,1,1,1
426,426,CHANY,INC_DIR,26,1,1,1,1
427,427,CHANY,DEC_DIR,27,1,1,1,1
428,428,CHANY,INC_DIR,28,1,1,1,1
429,429,CHANY,DEC_DIR,29,1,1,1,1
430,430,CHANY,INC_DIR,30,1,1,1,1
431,431,CHANY,DEC_DIR,31,1,1,1,1
432,432,CHANY,INC_DIR,32,1,1,1,1
433,433,CHANY,DEC_DIR,33,1,1,1,1
434,434,CHANY,INC_DIR,34,1,1,1,1
435,435,CHANY,DEC_DIR,35,1,1,1,1
436,436,CHANY,INC_DIR,36,1,1,1,1
437,437,CHANY,DEC_DIR,37,1,1,1,1
438,438,CHANY,INC_DIR,38,1,1,1,1
439,439,CHANY,DEC_DIR,39,1,1,1,1
440,440,CHANY,INC_DIR,40,1,1,1,1
441,441,CHANY,DEC_DIR,41,1,1,1,1
442,442,CHANY,INC_DIR,42,1,1,1,1
443,443,CHANY,DEC_DIR,43,1,1,1,1
444,444,CHANY,INC_DIR,44,1,1,1,1
445,445,CHANY,DEC_DIR,45,1,1,1,1
446,446,CHANY,INC_DIR,46,1,1,1,1
447,447,CHANY,DEC_DIR,47,1,1,1,1
448,448,CHANY,INC_DIR,48,1,1,1,1
449,449,CHANY,DEC_DIR,49,1,1,1,1
